Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,"09 Jun, 2026","10 Jun, 2026","11 Jun, 2026","12 Jun, 2026","13 Jun, 2026","14 Jun, 2026","15 Jun, 2026"
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer segmentation,Repeat user orders,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer segmentation,Lapsed user orders,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer segmentation,Breakfast orders,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer segmentation,Lunch orders,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer segmentation,Snacks orders,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer segmentation,Dinner orders,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer segmentation,Late night orders,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Ads,Sales from ads (Rs),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Ads,Ads CTR (%),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Ads,Ads impressions,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Ads,Ads menu opens,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Ads,Ads orders,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Ads,Ads spend (Rs),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Ads,Ads ROI,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Offers,Orders with offers,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Offers,Gross sales from offers (Rs),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Offers,Discount given (Rs),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Offers,Effective discount (%),0,0,0,0,0,0,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Sales,Delivered orders,0,1,1,1,11,8,12
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Sales,Sales (Rs),0,342.5899963378906,745.4500122070312,489.8500061035156,7981.35009765625,7982.60986328125,7093.7099609375
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Sales,Market share (%),0,0,0,0,0,0,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Average rating,3.753200054168701,3.7534000873565674,3.7492001056671143,3.749300003051758,3.76990008354187,3.7699999809265137,3.7611000537872314
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Rated orders,0,0,1,0,2,1,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Bad orders,0,0,0,0,2,1,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Rejected orders,0,0,0,0,0,0,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,KPT+10 delayed orders,0,0,0,0,0,0,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Poor rated orders,0,0,0,0,1,1,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Total complaints,0,0,0,0,1,1,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Non-refunded complaints,0,0,0,0,1,1,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Total complaints - Poor packaging,0,0,0,0,0,0,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Total complaints - Poor quality,0,0,0,0,0,1,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Total complaints - Wrong order,0,0,0,0,0,1,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Total complaints - Missing items,0,0,0,0,1,0,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Self logs other ors,0,0,0,0,1,0,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Lost sales (Rs),0,0,0,0,0,0,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Online %,100,100,99.72,100,100,100,100
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,Offline time (in hours),0,0,0,0,0,0,0
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,KPT (in minutes),0,12.1,21.44,18.41,20.776,19.0925,21.7918
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer experience,FOR accuracy (%),0,100,0,100,81.8,88.9,41.7
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer funnel,Impressions,1847,2236,2425,3471,2876,3132,2332
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer funnel,Impressions to menu (%),5.8,5.8,6.1,4,6.2,6.6,6.3
22467614,Kake Di Hatti,Krishna Nagar,Delhi NCR,Customer funnel,Menu opens,108,129,148,140,178,207,147
