Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,Mar 2026,Apr 2026,May 2026
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer funnel,Impressions,201309,214826,205894
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer funnel,Impressions to menu (%),7.6,6.2,5.9
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer funnel,Menu opens,15244,13356,12116
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer funnel,Menu to cart (%),33,33.8,28.5
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer funnel,Cart builds,5035,4512,3454
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer funnel,Cart to orders (%),25.3,29.1,26.2
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer funnel,Placed Orders,1275,1315,904
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer segmentation,New user orders,812,805,459
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer segmentation,Repeat user orders,391,416,364
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer segmentation,Lapsed user orders,72,94,81
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer segmentation,Breakfast orders,0,0,0
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer segmentation,Lunch orders,541,605,380
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer segmentation,Snacks orders,83,78,52
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer segmentation,Dinner orders,537,512,397
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer segmentation,Late night orders,114,120,75
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Ads,Sales from ads (Rs),356933.07000000007,298181.06,223373.64000000004
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Ads,Ads CTR (%),6.9,6.3,6
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Ads,Ads impressions,152709,154773,160193
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Ads,Ads menu opens,10462,9711,9585
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Ads,Ads orders,947,919,719
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Ads,Ads spend (Rs),51182.020402908325,54988.35623168945,56365.61237335205
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Ads,Ads ROI,8.46613706510456,7.761779570236243,5.555621358742585
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Offers,Orders with offers,381039.88,330747.56,220946.7
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Offers,Gross sales from offers (Rs),1053,1154,774
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Offers,Discount given (Rs),101518.13376140594,205050.59996891022,111763.3000087738
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Offers,Effective discount (%),26.64239110444962,61.99610313648501,50.58382787705324
20167617,GGB - Green Grain Bowl,Aundh,Pune,Sales,Delivered orders,120,98,106
20167617,GGB - Green Grain Bowl,Aundh,Pune,Sales,Sales (Rs),47839.05029296875,40444.880126953125,40655.7998046875
20167617,GGB - Green Grain Bowl,Aundh,Pune,Sales,Market share (%),0,0,0
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Average rating,4.431803211089103,4.441013304392497,4.478722541562973
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Rated orders,23,19,11
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Bad orders,6,2,9
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Rejected orders,2,0,3
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,KPT+10 delayed orders,0,0,2
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Poor rated orders,3,1,2
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Total complaints,2,1,2
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Non-refunded complaints,1,0,2
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Total complaints - Poor packaging,0,0,1
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Total complaints - Poor quality,1,1,1
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Total complaints - Wrong order,1,1,0
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Total complaints - Missing items,0,0,0
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Self logs other ors,0,0,1
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Lost sales (Rs),603.6,0,725.1
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Online %,72.17,69.97,77.5
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,Offline time (in hours),82,86,66
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,KPT (in minutes),6.6211,7.5609,8.1776
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer experience,FOR accuracy (%),91,91.9,91.8
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer funnel,Impressions,51990,36189,27580
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer funnel,Impressions to menu (%),4,4.7,5.3
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer funnel,Menu opens,2100,1698,1471
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer funnel,Menu to cart (%),12.3,14.5,14.4
20167617,GGB - Green Grain Bowl,Aundh,Pune,Customer funnel,Cart builds,259,246,212
